没戏	没辙	0.48112177608052026
只管	尽管	0.11632666971234498
GDP	生产力	0.4844118435347796
包袱	段子	0.41840842402257444
由此	通过	0.21600300164448002
日期	时间	0.5659709009228162
爱面子	好高骛远	0.2193521311006658
严厉	严谨	0.3144725355346495
一方面	一边	0.2439535220451256
托福	GRE	0.4387684429638198
亏	幸亏	0.0671462547748472
蹩脚	差强人意	0.15673675503933546
容易	顺利	0.14575051733838618
悲喜	大悲大喜	OOV
老气	土气	0.16930484062273135
狭隘	狭窄	0.30378356107592464
抄袭	克隆	0.20703335070107895
害臊	腼腆	0.5094881276513102
幻境	红楼梦	0.2760548722606477
依稀	清晰	0.37735348186064493
权限	权力	0.5024633955073702
伟大	壮烈	0.2355938270082924
娇艳	幽美	0.294670364496681
理解	理会	0.26832203420643513
酣睡	打鼾	0.13697158103167614
自然	环境	0.531140886332708
振兴	建设	0.4867403203133385
节日	假日	0.6152661597976176
的哥	司机	0.029344443911240015
几乎	差点儿	0.1280815186619379
江湖	红尘	0.41535995449777435
路子	后门	0.07939207651653267
牛脾气	我行我素	OOV
物品	物质	0.37195425718493164
塞车	拥挤	0.6398342248759484
面	首	0.2877232050664537
冷僻	晦涩	0.41579021318673576
免费	便宜	0.3652187206121987
发票	账单	0.38297399699981816
回收站	垃圾篓	OOV
典型	代表	0.24948958700715812
必须	必需	0.6455009617025499
出神	发楞	0.2887573261014109
琢磨	镂刻	0.045530758256666796
身姿	身手	0.4165374069607457
质量	重量	0.5586882118936298
事变	后院起火	0.2659445596622622
大小	多少	0.40609919382368626
信物	证件	0.11245674355301878
牺牲	粉身碎骨	0.2910434583588649
豆蔻年华	黄金时代	0.23747513550335086
血液	红细胞	0.6725921406087144
硅谷	中关村	0.534766718128532
天赋	技能	0.44980742388886746
酷	爽	0.2797426002950917
旅客	驴友	0.2267561410274632
隆重	重要	0.1732427849883154
候选人	备胎	0.1744739586288807
平凡	平庸	0.3652051820082926
了不得	好	0.3233911279173004
鸣谢	酬答	0.08741224226536538
线路	行程	0.24793280235511447
